label,kind,selection_score,passes_dev_minus_2_trade_preserve,passes_strict_is,dev_return_pct,dev_trades,dev_pf,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
combo_body108_trend_tp2_r_1.44,combo,12.01745738064181,True,True,67.25525869262137,46.0,6.039383762694538,3.6465181717884225,35.993790183963775,43.0,2.4881848483901394,5.4210451348410915,0.6002923218134129,1.0,2.254291264707099,4.0,
combo_body108_momentum_sol_disabled,targeted,11.728051702671946,False,False,59.645128229118306,42.0,5.856570442412031,3.846207393448526,42.48134998661431,37.0,3.4515251845498414,5.421045134841102,-7.009838141689649,-3.0,8.741851067357636,-2.0,
local_breakout_body_ratio_0.68,local,10.66290495509113,False,False,67.54097537367738,45.0,6.658937596723278,3.846207393448526,36.3337229073121,38.0,2.849061125757956,4.647685466035636,0.8860090028694287,0.0,2.5942239880554254,-1.0,Local grid around first-pass breakout body-ratio winner.
local_breakout_body_ratio_0.7,local,10.66290495509113,False,False,67.54097537367738,45.0,6.658937596723278,3.846207393448526,36.3337229073121,38.0,2.849061125757956,4.647685466035636,0.8860090028694287,0.0,2.5942239880554254,-1.0,Local grid around first-pass breakout body-ratio winner.
local_breakout_body_ratio_0.715,local,8.79471539056936,False,False,67.54097537367738,45.0,6.658937596723278,3.846207393448526,35.86667551618166,38.0,2.8273770296528027,4.647685466035636,0.8860090028694287,0.0,2.1271765969249827,-1.0,Local grid around first-pass breakout body-ratio winner.
extended_body108_scorea250_breakbody0715_momrisk020_riskall_1.25,extended,1.0591707503160008,False,False,80.76212434788857,43.0,5.896388922795467,3.901403566703282,33.745467589882146,38.0,2.243580309011811,6.785749067026983,14.107157977080618,-2.0,0.0059686706254709065,-1.0,
local_trend_orderly_body_0.96,local,0.7817531796684193,True,True,66.65496637080795,45.0,6.321492107306187,3.846207393448526,33.78493721417378,40.0,2.555132532438855,5.4210451348411,0.0,0.0,0.04543829491710483,1.0,Local grid around first-pass OOS winner.
local_trend_orderly_body_0.94,local,0.7817531796684193,True,True,66.65496637080795,45.0,6.321492107306187,3.846207393448526,33.78493721417378,40.0,2.555132532438855,5.4210451348411,0.0,0.0,0.04543829491710483,1.0,Local grid around first-pass OOS winner.
baseline_current_round2,baseline,0.0,False,False,66.65496637080795,45.0,6.321492107306187,3.846207393448526,33.739498919256675,39.0,2.5531918767231168,5.4210451348411,0.0,0.0,0.0,0.0,
combo_body108_breakout_body_ratio_0.73,combo,-3.0745603382478475,False,False,63.81029206221627,45.0,6.116277161223911,3.8462073934485357,34.248878436699975,41.0,2.5950051470770688,6.354426308495407,-2.844674308591685,0.0,0.5093795174432998,2.0,
combo_body108_breakout_body_ratio_0.75,combo,-3.0745603382478475,False,False,63.81029206221627,45.0,6.116277161223911,3.8462073934485357,34.248878436699975,41.0,2.5950051470770688,6.354426308495407,-2.844674308591685,0.0,0.5093795174432998,2.0,
local_trend_orderly_body_0.98,local,-6.316555473093419,False,False,66.65496637080795,45.0,6.321492107306187,3.846207393448526,31.86036005098332,41.0,2.379584842668401,5.4210451348411,0.0,0.0,-1.8791388682733547,2.0,Local grid around first-pass OOS winner.
